Diagnosis_Code,Description,CMS-HCC Model Category V28,Potential Co-existing Diagnoses
B0112,Varicella myelitis,182,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B0221,Postherpetic geniculate ganglionitis,,
B0222,Postherpetic trigeminal neuralgia,,
B0223,Postherpetic polyneuropathy,,
B0224,Postherpetic myelitis,182,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B0229,Other postherpetic nervous system involvement,,
B0682,Rubella arthritis,92,M069 (24%); M08859 (17%); M0880 (17%); M08819 (17%); M08849 (17%)
B1710,Acute hepatitis C without hepatic coma,,
B1711,Acute hepatitis C with hepatic coma,,
B180,Chronic viral hepatitis B with delta-agent,65,B3324 (34%); D562 (33%); B251 (28%); T4992XA (27%); T50B92A (26%)
B181,Chronic viral hepatitis B without delta-agent,65,B3324 (34%); D562 (33%); B251 (28%); T4992XA (27%); T50B92A (26%)
B182,Chronic viral hepatitis C,65,B3324 (50%); B251 (40%); T50B92A (38%); M8668 (16%); M8660 (15%)
B188,Other chronic viral hepatitis,65,B3324 (50%); B251 (40%); T50B92A (38%); M8668 (16%); M8660 (15%)
B189,"Chronic viral hepatitis, unspecified",65,B3324 (49%); B251 (40%); T50B92A (37%); M8660 (20%); M86619 (20%)
B1920,Unspecified viral hepatitis C without hepatic coma,,
B1921,Unspecified viral hepatitis C with hepatic coma,,
B20,Human immunodeficiency virus [HIV] disease,1,D819 (32%); A819 (25%); A8189 (23%); D839 (23%); D805 (18%)
B250,Cytomegaloviral pneumonitis,6,J84114 (45%); J84113 (33%); J678 (31%); J679 (31%); J690 (30%)
B251,Cytomegaloviral hepatitis,6,K739 (55%); K738 (48%); K754 (43%); B182 (40%); B188 (40%)
B252,Cytomegaloviral pancreatitis,6,K861 (66%); K860 (51%); A0104 (0%); A0105 (0%); A021 (0%)
B258,Other cytomegaloviral diseases,6,J84178 (34%); G9589 (31%); G914 (29%); M9058 (29%); M9050 (28%)
B259,"Cytomegaloviral disease, unspecified",6,G959 (30%); K50919 (27%); I279 (25%); M02359 (25%); M0230 (25%)
B2685,Mumps arthritis,92,M069 (24%); M08859 (17%); M0880 (17%); M08819 (17%); M08849 (17%)
B3324,Viral cardiomyopathy,227,B182 (50%); B188 (50%); B189 (49%); T50B92A (38%); B180 (34%)
B371,Pulmonary candidiasis,6,I2782 (38%); J810 (37%); I279 (35%); I2720 (34%); J8410 (33%)
B377,Candidal sepsis,2,B377 (100%); B3781 (54%); A0104 (0%); A0105 (0%); A0223 (0%)
B377,Candidal sepsis,6,B377 (100%); A4189 (48%); A408 (40%); A409 (39%); A5486 (36%)
B3781,Candidal esophagitis,6,B377 (54%); A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%)
B380,Acute pulmonary coccidioidomycosis,,
B381,Chronic pulmonary coccidioidomycosis,,
B382,"Pulmonary coccidioidomycosis, unspecified",,
B390,Acute pulmonary histoplasmosis capsulati,,
B391,Chronic pulmonary histoplasmosis capsulati,,
B392,"Pulmonary histoplasmosis capsulati, unspecified",,
B400,Acute pulmonary blastomycosis,,
B401,Chronic pulmonary blastomycosis,,
B402,"Pulmonary blastomycosis, unspecified",,
B410,Pulmonary paracoccidioidomycosis,,
B4282,Sporotrichosis arthritis,92,M069 (24%); M08859 (17%); M0880 (17%); M08819 (17%); M08849 (17%)
B440,Invasive pulmonary aspergillosis,6,I2782 (31%); J810 (30%); B4481 (30%); I279 (28%); I2720 (28%)
B441,Other pulmonary aspergillosis,6,I2782 (42%); J810 (42%); B4481 (41%); I279 (39%); I2720 (38%)
B442,Tonsillar aspergillosis,6,C090 (47%); C091 (39%); B4481 (35%); A0104 (0%); A0105 (0%)
B447,Disseminated aspergillosis,6,C800 (55%); G369 (42%); B007 (41%); G368 (40%); B4481 (37%)
B4481,Allergic bronchopulmonary aspergillosis,280,B449 (50%); B441 (41%); B447 (37%); B4489 (36%); B442 (35%)
B4489,Other forms of aspergillosis,6,I248 (41%); I2489 (41%); M328 (40%); B4481 (36%); A0104 (0%)
B449,"Aspergillosis, unspecified",6,B4481 (50%); G8330 (13%); L97909 (13%); G8190 (13%); C8510 (13%)
B450,Pulmonary cryptococcosis,6,I2782 (42%); J810 (42%); I279 (39%); I2720 (38%); J8410 (37%)
B451,Cerebral cryptococcosis,6,I6349 (39%); I6339 (39%); G936 (39%); I6340 (39%); I6330 (39%)
B452,Cutaneous cryptococcosis,6,C84A0 (38%); C84A7 (38%); Z9351 (35%); C84A2 (33%); C84A6 (33%)
B453,Osseous cryptococcosis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B457,Disseminated cryptococcosis,6,C800 (55%); G369 (42%); B007 (41%); G368 (40%); C960 (28%)
B458,Other forms of cryptococcosis,6,I248 (41%); I2489 (41%); M328 (40%); A0104 (0%); A0105 (0%)
B459,"Cryptococcosis, unspecified",6,G8330 (13%); L97909 (13%); G8190 (13%); C8510 (13%); M08959 (13%)
B460,Pulmonary mucormycosis,6,I2782 (42%); J810 (41%); I279 (38%); I2720 (38%); J8410 (37%)
B461,Rhinocerebral mucormycosis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B462,Gastrointestinal mucormycosis,6,C49A9 (37%); C49A0 (37%); C464 (36%); C49A2 (34%); C49A5 (34%)
B463,Cutaneous mucormycosis,6,C84A0 (38%); C84A7 (38%); Z9351 (35%); C84A2 (33%); C84A6 (33%)
B464,Disseminated mucormycosis,6,C800 (55%); G369 (42%); B007 (41%); G368 (40%); C960 (28%)
B465,"Mucormycosis, unspecified",6,G8330 (13%); L97909 (13%); G8190 (12%); C8510 (12%); M08959 (12%)
B468,Other zygomycoses,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B469,"Zygomycosis, unspecified",6,G8330 (11%); L97909 (11%); G8190 (11%); C8510 (11%); M08959 (11%)
B484,Penicillosis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B488,Other specified mycoses,6,M068A (31%); E1369 (30%); A4189 (23%); M06859 (20%); M0680 (20%)
B520,Plasmodium malariae malaria with nephropathy,,
B582,Toxoplasma meningoencephalitis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B583,Pulmonary toxoplasmosis,6,I2782 (38%); J810 (37%); I279 (35%); I2720 (34%); J8410 (33%)
B59,Pneumocystosis,6,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
B664,Paragonimiasis,,
B671,Echinococcus granulosus infection of lung,,
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1,D819 (27%); G914 (26%); M9058 (26%); M9050 (25%); M90519 (25%)
C01,Malignant neoplasm of base of tongue,21,C380 (31%); S0219XB (31%); S0219XA (30%); S02109B (30%); S02109A (30%)
C020,Malignant neoplasm of dorsal surface of tongue,21,C380 (25%); C720 (23%); C261 (23%); C719 (23%); C7650 (23%)
C021,Malignant neoplasm of border of tongue,21,C380 (27%); C720 (25%); C261 (25%); C719 (25%); C7650 (25%)
C022,Malignant neoplasm of ventral surface of tongue,21,C380 (25%); C720 (23%); C261 (23%); C719 (23%); C7650 (23%)
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",21,C673 (32%); C6990 (27%); C719 (27%); C7650 (27%); C7640 (25%)
C024,Malignant neoplasm of lingual tonsil,21,C380 (26%); C720 (24%); C261 (24%); C719 (24%); C7650 (24%)
C028,Malignant neoplasm of overlapping sites of tongue,21,C718 (64%); C188 (61%); C168 (59%); C678 (59%); C258 (58%)
C029,"Malignant neoplasm of tongue, unspecified",21,C6990 (40%); C719 (40%); C7650 (40%); C7640 (38%); C189 (37%)
C030,Malignant neoplasm of upper gum,21,C7640 (51%); C7642 (50%); C7641 (50%); C153 (42%); C773 (33%)
C031,Malignant neoplasm of lower gum,21,C7650 (47%); C7652 (46%); C7651 (46%); C155 (38%); C380 (33%)
C039,"Malignant neoplasm of gum, unspecified",21,C6990 (38%); C719 (38%); C7650 (38%); C7640 (36%); C189 (35%)
C040,Malignant neoplasm of anterior floor of mouth,21,C673 (35%); S0230XB (33%); S0230XA (33%); S0232XB (33%); S0231XB (33%)
C041,Malignant neoplasm of lateral floor of mouth,21,C672 (39%); S0230XB (32%); S0230XA (32%); S0232XB (32%); S0231XB (32%)
C048,Malignant neoplasm of overlapping sites of floor of mouth,21,C718 (54%); C188 (52%); C168 (50%); C678 (50%); C258 (50%)
C049,"Malignant neoplasm of floor of mouth, unspecified",21,S0230XB (39%); S0230XA (39%); S0232XB (35%); S0231XB (35%); S0232XA (35%)
C050,Malignant neoplasm of hard palate,21,C380 (27%); C720 (25%); C261 (25%); C719 (24%); C7650 (24%)
C051,Malignant neoplasm of soft palate,21,C494 (41%); C380 (30%); C720 (27%); C261 (27%); C719 (27%)
C052,Malignant neoplasm of uvula,21,C380 (34%); C720 (31%); C261 (31%); C719 (31%); C7650 (31%)
C058,Malignant neoplasm of overlapping sites of palate,21,C718 (63%); C188 (60%); C168 (58%); C678 (58%); C258 (57%)
C059,"Malignant neoplasm of palate, unspecified",21,C6990 (39%); C719 (39%); C7650 (39%); C7640 (37%); C189 (36%)
C060,Malignant neoplasm of cheek mucosa,21,C380 (26%); C720 (24%); C261 (24%); C719 (24%); C7650 (24%)
C061,Malignant neoplasm of vestibule of mouth,21,C380 (27%); C720 (25%); C261 (25%); C719 (25%); C7650 (25%)
C062,Malignant neoplasm of retromolar area,21,C380 (25%); C720 (23%); C261 (23%); C719 (23%); C7650 (23%)
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,21,C718 (55%); C188 (53%); C168 (51%); C678 (51%); C258 (50%)
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,21,C718 (56%); C188 (54%); C168 (51%); C678 (51%); C258 (51%)
C069,"Malignant neoplasm of mouth, unspecified",21,C6990 (41%); C719 (40%); C7650 (40%); C7640 (38%); C189 (38%)
C07,Malignant neoplasm of parotid gland,21,C751 (48%); C7492 (48%); C7491 (48%); C759 (48%); C753 (47%)
C080,Malignant neoplasm of submandibular gland,21,C751 (48%); C7492 (48%); C7491 (48%); C759 (48%); C753 (47%)
C081,Malignant neoplasm of sublingual gland,21,C751 (48%); C7492 (48%); C7491 (48%); C759 (48%); C753 (47%)
C089,"Malignant neoplasm of major salivary gland, unspecified",21,C7490 (45%); C7492 (43%); C7491 (43%); C759 (43%); C751 (41%)
C090,Malignant neoplasm of tonsillar fossa,21,B442 (47%); P526 (37%); C380 (27%); C720 (25%); C261 (25%)
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),21,B442 (39%); C674 (30%); C673 (30%); G8383 (23%); C380 (23%)
C098,Malignant neoplasm of overlapping sites of tonsil,21,C718 (61%); C188 (59%); C168 (56%); C678 (56%); C258 (56%)
C099,"Malignant neoplasm of tonsil, unspecified",21,C6990 (38%); C719 (38%); C7650 (38%); C7640 (36%); C189 (35%)
C100,Malignant neoplasm of vallecula,21,C380 (34%); C720 (31%); C261 (31%); C719 (31%); C7650 (31%)
C101,Malignant neoplasm of anterior surface of epiglottis,21,C673 (36%); C380 (27%); G8382 (27%); C720 (25%); C261 (25%)
C102,Malignant neoplasm of lateral wall of oropharynx,21,C672 (61%); S02849B (42%); S02849A (42%); S02842B (41%); S02841B (41%)
C103,Malignant neoplasm of posterior wall of oropharynx,21,C674 (59%); S32423B (39%); C673 (39%); S32426B (39%); S32423A (39%)
C104,Malignant neoplasm of branchial cleft,21,C380 (25%); C720 (23%); C261 (23%); C719 (23%); C7650 (23%)
C108,Malignant neoplasm of overlapping sites of oropharynx,21,C718 (62%); C188 (60%); C168 (57%); C678 (57%); C258 (57%)
C109,"Malignant neoplasm of oropharynx, unspecified",21,C6990 (39%); C719 (38%); C7650 (38%); C7640 (36%); C189 (36%)
C110,Malignant neoplasm of superior wall of nasopharynx,21,C673 (36%); C674 (36%); C672 (35%); S32519B (28%); S32519A (28%)
C111,Malignant neoplasm of posterior wall of nasopharynx,21,C674 (60%); S32423B (39%); C673 (39%); S32426B (39%); S32423A (39%)
C112,Malignant neoplasm of lateral wall of nasopharynx,21,C672 (62%); S02849B (42%); S02849A (42%); S02842B (42%); S02841B (42%)
C113,Malignant neoplasm of anterior wall of nasopharynx,21,C673 (59%); C674 (39%); S32413B (39%); S32416B (39%); S32413A (38%)
C118,Malignant neoplasm of overlapping sites of nasopharynx,21,C718 (63%); C188 (61%); C168 (58%); C678 (58%); C258 (58%)
C119,"Malignant neoplasm of nasopharynx, unspecified",21,C6990 (40%); C719 (40%); C7650 (39%); C7640 (37%); C189 (37%)
C12,Malignant neoplasm of pyriform sinus,21,C380 (29%); M86459 (28%); M86452 (27%); M86451 (27%); M8648 (27%)
C130,Malignant neoplasm of postcricoid region,21,C380 (30%); C720 (28%); C261 (28%); C719 (27%); C7650 (27%)
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",21,C380 (19%); C720 (17%); C261 (17%); C719 (17%); C7650 (17%)
C132,Malignant neoplasm of posterior wall of hypopharynx,21,C674 (58%); S32423B (38%); C673 (38%); S32426B (38%); S32423A (38%)
C138,Malignant neoplasm of overlapping sites of hypopharynx,21,C718 (61%); C188 (59%); C168 (56%); C678 (56%); C258 (56%)
C139,"Malignant neoplasm of hypopharynx, unspecified",21,C6990 (38%); C719 (38%); C7650 (38%); C7640 (36%); C189 (35%)
C140,"Malignant neoplasm of pharynx, unspecified",21,C6990 (37%); C719 (37%); C7650 (37%); C7640 (35%); C189 (34%)
C142,Malignant neoplasm of Waldeyer's ring,21,D461 (28%); C380 (28%); C720 (25%); C261 (25%); C719 (25%)
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",21,C718 (40%); C430 (39%); C188 (38%); C168 (37%); C678 (37%)
C153,Malignant neoplasm of upper third of esophagus,20,C7640 (53%); C7642 (52%); C7641 (52%); C030 (42%); C49A1 (40%)
C154,Malignant neoplasm of middle third of esophagus,20,C301 (55%); C49A1 (36%); I6010 (29%); I6012 (29%); I6011 (29%)
C155,Malignant neoplasm of lower third of esophagus,20,C7650 (49%); C7652 (48%); C7651 (48%); C49A1 (42%); C031 (38%)
C158,Malignant neoplasm of overlapping sites of esophagus,20,C188 (61%); C678 (58%); C028 (57%); C118 (57%); C058 (57%)
C159,"Malignant neoplasm of esophagus, unspecified",20,C49A1 (44%); C6990 (40%); C7650 (39%); C7640 (37%); C189 (37%)
C160,Malignant neoplasm of cardia,20,C411 (32%); C261 (31%); C7650 (31%); C763 (30%); C7652 (30%)
C161,Malignant neoplasm of fundus of stomach,20,C543 (63%); C7A092 (46%); D3A092 (34%); C49A2 (31%); C411 (26%)
C162,Malignant neoplasm of body of stomach,20,C7A092 (56%); C754 (52%); C602 (46%); C6940 (44%); C6942 (44%)
C163,Malignant neoplasm of pyloric antrum,20,Q400 (37%); C411 (25%); C261 (24%); C7650 (24%); C763 (23%)
C164,Malignant neoplasm of pylorus,20,C411 (32%); C261 (31%); C7650 (31%); C763 (30%); C7652 (30%)
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",20,C7A092 (40%); D3A092 (30%); C49A2 (27%); C6990 (26%); S72123A (26%)
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",20,C7A092 (41%); D3A092 (31%); C49A2 (28%); C6990 (27%); C7650 (27%)
C168,Malignant neoplasm of overlapping sites of stomach,20,C188 (62%); C678 (59%); C028 (59%); C118 (58%); C058 (58%)
C169,"Malignant neoplasm of stomach, unspecified",20,C7A092 (62%); D3A092 (46%); C49A2 (42%); C6990 (41%); C7650 (41%)
C170,Malignant neoplasm of duodenum,20,C7A010 (67%); D3A010 (52%); Q410 (44%); C411 (35%); C261 (34%)
C171,Malignant neoplasm of jejunum,20,C7A011 (67%); D3A011 (52%); Q411 (44%); C411 (35%); C261 (34%)
C172,Malignant neoplasm of ileum,20,C7A012 (67%); D3A012 (52%); Q412 (44%); C411 (35%); C261 (34%)
C173,"Meckel's diverticulum, malignant",20,C411 (12%); C261 (12%); C7650 (12%); C763 (11%); C7652 (11%)
C178,Malignant neoplasm of overlapping sites of small intestine,20,C784 (71%); C188 (58%); C678 (56%); C028 (55%); C118 (55%)
C179,"Malignant neoplasm of small intestine, unspecified",20,C784 (86%); C7A019 (62%); K50019 (59%); K5000 (56%); K50018 (56%)
C180,Malignant neoplasm of cecum,22,C7A021 (68%); C380 (36%); C411 (34%); C720 (33%); C719 (33%)
C181,Malignant neoplasm of appendix,22,C7A020 (68%); C380 (36%); C411 (34%); C720 (33%); C719 (33%)
C182,Malignant neoplasm of ascending colon,22,C7A022 (75%); I71010 (41%); C7A023 (38%); I7111 (37%); C7A024 (35%)
C183,Malignant neoplasm of hepatic flexure,22,K7682 (41%); K7290 (40%); K7291 (40%); K7210 (38%); K7211 (38%)
C184,Malignant neoplasm of transverse colon,22,C7A023 (70%); C7A024 (40%); C7A022 (40%); C7A025 (39%); C380 (34%)
C185,Malignant neoplasm of splenic flexure,22,D57812 (31%); D57412 (31%); D57212 (29%); D5702 (29%); C380 (28%)
C186,Malignant neoplasm of descending colon,22,C7A024 (75%); C7A023 (39%); I71012 (38%); C7A022 (35%); C7A025 (35%)
C187,Malignant neoplasm of sigmoid colon,22,C7A025 (76%); C7A023 (37%); C7A024 (35%); C7A022 (34%); C380 (30%)
C188,Malignant neoplasm of overlapping sites of colon,22,C718 (67%); C168 (62%); C258 (62%); C028 (61%); C118 (61%)
C189,"Malignant neoplasm of colon, unspecified",22,C7A023 (51%); C7A024 (47%); C7A022 (47%); C7A025 (46%); C6990 (44%)
C19,Malignant neoplasm of rectosigmoid junction,22,C380 (25%); C411 (24%); C720 (23%); C719 (23%); C7650 (23%)
C20,Malignant neoplasm of rectum,22,C785 (68%); C7A026 (64%); C49A5 (43%); C380 (39%); Q420 (37%)
C210,"Malignant neoplasm of anus, unspecified",22,Q422 (40%); Q423 (40%); C6990 (39%); C719 (38%); C7650 (38%)
C211,Malignant neoplasm of anal canal,22,C4351 (52%); D0351 (39%); C4A51 (37%); C4320 (33%); C4322 (33%)
C212,Malignant neoplasm of cloacogenic zone,22,S32119B (29%); C380 (29%); S32119A (29%); S32110B (27%); S32110A (27%)
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",22,C718 (42%); C168 (39%); C258 (38%); C028 (38%); C118 (38%)
C220,Liver cell carcinoma,20,C4A9 (57%); C7B1 (52%); C4A30 (49%); C4A8 (47%); K717 (47%)
C221,Intrahepatic bile duct carcinoma,20,C787 (73%); K831 (60%); Q442 (29%); C4A9 (26%); D353 (26%)
C222,Hepatoblastoma,20,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
C223,Angiosarcoma of liver,20,K717 (42%); K7469 (38%); Z944 (37%); K7460 (37%); T8649 (37%)
C224,Other sarcomas of liver,20,K717 (42%); K7469 (38%); Z944 (37%); K7460 (37%); T8649 (37%)
C227,Other specified carcinomas of liver,20,K717 (40%); K7469 (36%); Z944 (35%); K7460 (35%); T8649 (34%)
C228,"Malignant neoplasm of liver, primary, unspecified as to type",20,C801 (76%); K717 (42%); K7460 (40%); T8640 (38%); K7469 (37%)
C229,"Malignant neoplasm of liver, not specified as primary or secondary",20,C801 (65%); C7989 (58%); C799 (47%); C7951 (46%); C7981 (45%)
C23,Malignant neoplasm of gallbladder,20,C411 (32%); C261 (31%); C7650 (31%); C763 (30%); C7652 (30%)
